id,solution
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,0
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
